district,sl_no,name,capacity_mva,latitude,longitude,latitude_raw,longitude_raw,coord_flags
MURSHIDABAD,16,LALGOLA,23.9,24.4072667,88.2541,N24°24.436',E88°15.246',
MURSHIDABAD,17,Ajimganj,12.6,24.3672667,88.4203833,N24°22.036',E88°25.223',
MURSHIDABAD,18,BHAGABANGOLA (NASHIPUR),12.45,24.3045,88.362,N24°18.270',E88°21.720',
MURSHIDABAD,19,RAGHUNATHGANJ,34.45,24.4548694,88.0370194,"24°27'17.53""N","88° 2'13.27""E",
MURSHIDABAD,20,DAFAHAT (AURANGABAD),22.05,24.623,88.0060167,N24°37.380',E88°00.361',
MURSHIDABAD,21,DHULIAN,22.05,24.6374,87.9212,N24°38.244',E87°55.272',
MURSHIDABAD,22,FARAKKA,18.75,24.8043167,87.91745,N24°48.259',E87°55.047',
MURSHIDABAD,23,SAGARDIGHI PDCL,18.9,24.3680833,88.1135,N24°22.085',E88°06.810',
MURSHIDABAD,24,SAGARDIGHI,28.2,24.2806667,88.0941333,N24°16.840',E88°05.648',
MURSHIDABAD,25,JANGIPUR MEGA FOOD PARK,20.0,24.4003833,88.0396333,N24°24.023',E88°02.378',
MURSHIDABAD,26,KANDI,22.6,23.9528833,88.0352333,N23°57.173',E88°02.114',
MURSHIDABAD,27,KULI,25.2,23.9692,87.964,N23°58.152',E87°57.840',
MURSHIDABAD,28,SALAR,23.9,23.77875,88.1044833,N23°46.725',E88°06.269',
MURSHIDABAD,29,BHABANINAGAR,25.2,24.1159,87.9972,N24°06.954',E87°59.832',
MURSHIDABAD,30,SHAKTIPUR,12.6,23.87155,88.1870667,N23°52.293',E88°11.224',
MURSHIDABAD,31,GOALJAN,18.9,24.1076167,88.2344333,N24°06.457',E88°14.066',
MURSHIDABAD,32,BHARATPUR,12.6,24.4729833,88.13995,N23°88.379',E88°08.397',minutes_ge_60
MURSHIDABAD,33,Panchtupi,12.6,24.58325,88.0535833,N23°94.995',E88°03.215',minutes_ge_60
MURSHIDABAD,34,GOKARNA,26.3,24.0741667,88.2005,N24°04.45',E88°12.03',
MALDA,1,NARAYANAPUR,22.6,25.0690667,88.1418,N25°04.144',E88°08.508',
MALDA,2,HABIBPUR,16.3,25.0166667,88.2873833,N25°01.000',E88°17.243',
MALDA,3,MANIKCHAK,20.75,25.0774,87.9028167,N25°04.644',E87°54.169',
MALDA,4,RABINDRABHAVAN,22.6,24.9807167,88.1399333,N24°58.843',E88°08.396',
MALDA,5,ENGLISH BAZAR,20.0,25.0011944,88.1395833,"25°00'04.3""N","88°08'22.5""E",
MALDA,6,KALIACHAK,28.2,24.9782,88.0179167,N24°58.692',E88°01.075',
MALDA,7,MALDA KPS,28.2,25.0371833,88.1249167,N25°02.231',E88°07.495',
MALDA,8,BAISHNABNAGAR,22.6,24.8044333,87.9902833,N24°48.266',E87°59.417',
MALDA,9,Mothabari,12.6,24.966803,88.01691,N24.966803,E88.01691,
MALDA,10,Sujapur,12.6,24.9213056,88.0944444,"24°55'16.7""N","88°05'40.0""E",
MALDA,11,CHANCHAL,26.3,25.3929833,88.0097333,N25°23.579',E88°00.584',
MALDA,12,SHIBNAGAR,9.3,25.1807667,88.0331333,N25°10.846',E88°01.988',
MALDA,13,BAMONGOLA (GURNAGAR),9.45,25.1454667,88.3729333,N25°08.728',E88°22.376',
MALDA,14,GAZOL,22.6,25.2147333,88.1890333,N25°12.884',E88°11.342',
MALDA,15,HARISCHANDRAPUR,18.75,25.4254333,87.8797667,N25°25.526',E87°52.786',
MALDA,16,RATUA,18.75,25.2104,87.9364,N25°12.624',E87°56.184',
MALDA,17,BHALUKA,12.6,25.2896167,87.8847667,N25°17.377',E87°53.086',
DARJEELING,1,Bijanbari,6.3,27.0500278,88.2617778,N27.05002778°,E88.26177778°,
DARJEELING,2,Happy valley,12.6,27.05728,88.18364,N27.05728°,E88.18364°,
DARJEELING,3,Lebong PH,9.45,26.8807778,88.2785278,N26.88077778°,E88.27852778°,
DARJEELING,4,Lodhama,6.3,27.0519444,88.2750833,N27.05194444°,E88.27508333°,
DARJEELING,5,New Ghoom,12.6,27.0071667,88.2478889,N27.00716667°,E88.24788889°,
DARJEELING,6,Old Ghoom,6.3,27.0085556,88.2553056,N27.00855556°,E88.25530556°,
DARJEELING,7,Pokhriabang,6.3,26.9404972,88.187,"26°56'25.79""N","88°11'13.20""E",
DARJEELING,8,Singamari,6.3,27.0606,88.2565,N27.0606,E88.2565,
DARJEELING,9,Mirik,6.3,26.881811,88.189083,26.881811 N,88.189083 E,
DARJEELING,10,Pankhabari,12.3,26.8756667,88.2707222,N26.87566667°,E88.27072222°,
DARJEELING,11,Fazi,1.5,26.91199,88.248976,26.911990 N,88.248976 E,
DARJEELING,12,Dabgram,15.75,26.66831,88.42267,N26.66831°,E88.42267°,
DARJEELING,13,Deshbandhupara,18.9,26.69402,88.43694,N26.69402°,E88.43694°,
DARJEELING,14,Housing Board,12.6,26.75321,88.4457,N26.75321°,E88.44570°,
DARJEELING,15,Jhankar,18.9,26.71153,88.41778,N26.71153°,E88.41778°,
DARJEELING,16,Rabindranagar,28.9,26.71818,88.45552,N26.71818°,E88.45552°,
DARJEELING,17,Salbari,15.75,26.76789,88.38127,N26.76789°,E88.38127°,
DARJEELING,18,Siliguri,25.2,26.73901,88.43589,N26.73901°,E88.43589°,
DARJEELING,19,Ujanu,23.9,26.73292,88.4043,N26.73292°,E88.4043°,
DARJEELING,20,Bidhannagar,17.6,26.4848,88.23545,N26.48480°,E88.23545°,
DARJEELING,21,Ghospukur,18.9,26.56104,88.26638,N26.56104°,E88.26638°,
DARJEELING,22,Khaparail,18.9,26.73278,88.36258,N26.73278°,E88.36258°,
DARJEELING,23,Hatighisa,12.6,26.683473,88.23351,N26.683473°,E88.23351°,
DARJEELING,24,Kharibari,12.6,26.62794,88.17179,N26.62794°,E88.17179°,
DARJEELING,25,TCF PS I,11.3,26.62275,88.3599444,N26.62275°,E88.35994444,
JALPAIGURI,1,MOHITNAGAR,22.6,26.53725,88.6847778,N26.53725°,E88.68477778°,
JALPAIGURI,2,PAHARPUR,12.6,26.54276,89.184,N26.54276°,E89.18400°,
JALPAIGURI,3,PANDAPARA,12.6,26.5038972,88.7079333,"26°30'14.03""N","88°42'28.56""E",
JALPAIGURI,4,RANINAGAR,12.6,26.53708,88.64554,N26.53708°,E88.64554°,
JALPAIGURI,5,FATAPUKUR,15.75,26.57184,88.54636,N26.57184°,E88.54636°,
JALPAIGURI,6,HALDIBARI,12.6,26.3417167,88.7830667,N26°20.503',E88°46.984',
JALPAIGURI,7,RADHABARI,12.6,26.6239722,88.4508611,N26.62397222°,E88.45086111°,
JALPAIGURI,8,CHANGRABANDHA,9.3,26.4191667,88.9186167,N26°25.150',E88°55.117',
JALPAIGURI,9,MEKHLIGANJ,6.3,26.3576833,88.9060667,N26°21.461',E88°54.364',
JALPAIGURI,10,DHUPGURI,18.9,26.9506333,88.0573167,N26°57038',E88°03439',inferred_decimal_minutes
JALPAIGURI,11,AMBARI FALAKATA,3.15,26.54226,89.18469,N26.54226°,E89.18469°,
JALPAIGURI,12,Fulbari,6.3,26.500086,89.11676,N26.500086°,E89.11676°,
JALPAIGURI,13,GORUBATHAN,6.0,26.95156,88.70506,N26.95156°,E88.70506°,
JALPAIGURI,14,MALBAZAR,12.6,26.85619,88.7428,N26.85619°,E88.74280°,
JALPAIGURI,15,GAJOLDOBA,9.45,26.7425556,88.5670278,"26°44'33.2""N","88°34'01.3""E",
JALPAIGURI,16,LATAGURI,9.45,26.6954167,88.7581667,"26°41'43.5""N","88°45'29.4""E",
ALIPURDUAR,1,KUMARGRAM,9.45,26.6097709,89.8287393,26.6097709 E,89.8287393 N,hemi_label_swapped
ALIPURDUAR,2,FALAKATA,18.9,26.543017,89.183767,26.543017 E,89.183767 N,hemi_label_swapped
ALIPURDUAR,3,KARTIKA,9.45,26.6492723,89.7251832,26.6492723 E,89.7251832 N,hemi_label_swapped
ALIPURDUAR,4,DAMANPUR / NEW ALIPURDUAR,12.6,26.48313,89.567881,26.48313 N,89.567881 E,
COOCHBEHAR,1,COOCHBEHAR (KHAGRABARI),28.9,26.3397833,89.4508833,N26°20.387',E89°27.053',
COOCHBEHAR,2,CHAKCHAKA,12.6,26.3393,89.48155,N26°20.358',E89°28.893',
COOCHBEHAR,3,GHUGUMARI,9.45,26.2862167,89.4650333,N26°17.173',E89°27.902',
COOCHBEHAR,4,BALARAMPUR,12.6,26.23315,89.5724333,N26°13.989',E89°34.346',
COOCHBEHAR,5,DINHATA,28.9,26.1135167,89.46775,N26°06.811',E89°28.065',
COOCHBEHAR,6,BAXIRHAT,9.45,26.3185667,89.74945,N26°19.114',E89°44.967',
COOCHBEHAR,7,TUFANGANJ,15.75,26.308,89.6587333,N26°18.480',E89°39.524',
COOCHBEHAR,8,BAMANHAT,6.3,26.0792333,89.5804667,N26°4.754',E89°34.828',
COOCHBEHAR,9,MATHABHANGA,12.6,26.3420667,89.1953,N26°20.524',E89°11.718',
COOCHBEHAR,10,BHOGRAMGURI,9.45,26.4310167,89.0572833,N26°25.861',E89°03.437',
COOCHBEHAR,11,AKRAHAT,16.3,26.2938167,89.3205667,N26°17.629',E89°19.234',
COOCHBEHAR,12,SITALKUCHI,9.45,26.1612667,89.1919833,N26°09.676',E89°11.519',
COOCHBEHAR,13,SITAI,9.45,26.0829,89.31485,N26°04.974',E89°18.891',
COOCHBEHAR,14,Cooch Behar Power House,20.0,26.3221667,89.4424833,N26°19.330',E89°26.549',
UTTAR DINAJPUR,1,ITAHAR,18.9,25.4544833,88.1749333,N25°27.269',E88°10.496',
UTTAR DINAJPUR,2,KALIAGANJ,18.9,25.6290833,88.3396,N25°37.745',E88°20.376',
UTTAR DINAJPUR,3,RAIGANJ OLD,23.9,25.6314944,88.1365194,"25°37'53.38""N","88° 8'11.47""E",
UTTAR DINAJPUR,4,HEMTABAD,9.45,25.6685833,88.2317167,N25°40.115',E88°13.903',
UTTAR DINAJPUR,5,DURGAPUR,11.15,25.5297333,88.1474333,N25°31.784',E88°8.846',
UTTAR DINAJPUR,6,BIKORE,22.05,25.8412333,87.9290833,N25°50.474',E87°55.745',
UTTAR DINAJPUR,7,ISLAMPUR,22.6,26.2471667,88.1712833,N26°14.830',E88°10.277',
UTTAR DINAJPUR,8,KAHATA,9.45,26.0270833,87.9455167,N26°01.625',E87°56.731',
UTTAR DINAJPUR,9,LODHAN,9.3,26.0745667,88.1112,N26°04.474',E88°06.672',
UTTAR DINAJPUR,10,CHOPRA,22.05,26.3594667,88.3146167,N26°21.568',E88°18.877',
UTTAR DINAJPUR,11,BHOLAGACH,12.6,26.4165833,88.3730333,N26°24.995',E88°22.382',
UTTAR DINAJPUR,12,SRIKRISHNAPUR,12.6,26.2920333,88.2421167,N26°17.522',E88°14.527',
DAKSHIN DINAJPUR,1,BORO-RAGHUNATHPUR,12.6,25.2449667,88.7858167,N25°14.698',E88°47.149',
DAKSHIN DINAJPUR,2,TRIMOHINI,12.6,25.2853333,88.93675,N25°17.120',E88°56.205',
DAKSHIN DINAJPUR,3,MAHIPUR,9.3,25.4078,88.7567333,N25°24.468',E88°45.404',
DAKSHIN DINAJPUR,4,RAMPUR,9.45,25.3482667,88.6291667,N25°20.896',E88°37.750',
DAKSHIN DINAJPUR,5,SALAS,22.6,25.2853333,88.5698667,N25°17.120',E88°34.192',
DAKSHIN DINAJPUR,6,BUNIADPUR,15.75,25.3903167,88.3971667,N25°23.419',E88°23.830',
DAKSHIN DINAJPUR,7,KUSMANDI,9.45,25.5456333,88.36005,N25°32.738',E88°21.603',
DAKSHIN DINAJPUR,8,HARIRAMPUR,9.45,25.405297,88.26512,N25.405297,E88.26512,
DAKSHIN DINAJPUR,9,Thengapara,12.6,25.3699333,88.4606167,N25°22.196',E88°27.637',
